Unnamed: 0,Country,YearMonth,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10,Query11,Query12,Query13,Query14,Query15,Query16,Query17,Query18,Query19,Query20,Query21,Query22,Query23,Query24,Query25,Query26,Query27,Query28,Query29,Query30,Query31,Query32,Query33,Query34,Query35,Query36,Query37,Query38,Query39,Query40
1,US,2004-03-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,US,2004-04-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,US,2004-08-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,US,2005-04-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,US,2005-09-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,US,2006-04-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,US,2006-05-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,US,2006-09-01,third wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,US,2007-03-01,vatican feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,US,2007-04-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,US,2007-05-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,US,2007-06-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,US,2007-08-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,US,2007-10-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,US,2007-10-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,US,2007-10-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,US,2007-11-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,US,2007-11-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,US,2007-11-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,US,2007-12-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,US,2008-03-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,US,2008-04-01,liberal feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,US,2008-05-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,US,2008-05-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,US,2008-06-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,US,2008-08-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,US,2008-09-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,US,2008-10-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,US,2008-10-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,US,2008-10-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,US,2008-11-01,ladies against feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,US,2008-12-01,black feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,US,2009-03-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,US,2009-04-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,US,2009-05-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,US,2009-06-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,US,2009-08-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,US,2009-09-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,US,2009-10-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,US,2009-10-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,US,2009-11-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,US,2009-11-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,US,2009-12-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,US,2009-12-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,US,2009-12-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,US,2010-03-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,US,2010-03-01,second wave feminism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,US,2010-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,US,2010-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,US,2010-07-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,US,2010-08-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,US,2010-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,US,2010-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,US,2010-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,US,2010-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,US,2010-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,US,2010-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,US,2010-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,US,2010-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,US,2010-08-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,US,2011-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,US,2011-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,US,2011-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,US,2011-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,US,2011-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,US,2011-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,US,2011-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,US,2011-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,US,2011-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,US,2011-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,US,2011-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,US,2011-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,US,2011-07-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,US,2011-08-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,US,2011-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,US,2011-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,US,2011-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,US,2011-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,US,2011-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,US,2011-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,US,2011-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,US,2011-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,US,2011-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,US,2011-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,US,2011-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,US,2011-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,US,2012-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,US,2012-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,US,2012-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,US,2012-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,US,2012-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,US,2012-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,US,2012-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,US,2012-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,US,2012-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,US,2012-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,US,2012-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,US,2012-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,US,2012-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,US,2012-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,US,2012-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,US,2012-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,US,2012-07-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,US,2012-07-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,US,2012-07-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,US,2012-08-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,US,2012-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,US,2012-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,US,2012-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,US,2012-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,US,2012-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,US,2012-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,US,2012-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,US,2012-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,US,2012-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,US,2012-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,US,2012-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,US,2012-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,US,2012-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,US,2012-08-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,US,2013-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,US,2013-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,US,2013-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,US,2013-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,US,2013-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,US,2013-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,US,2013-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,US,2013-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,US,2013-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,US,2013-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,US,2013-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,US,2013-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,US,2013-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,US,2013-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,US,2013-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,US,2013-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,US,2013-06-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,US,2013-07-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,US,2013-08-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,US,2013-08-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,US,2013-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,US,2013-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,US,2013-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,US,2013-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,US,2013-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,US,2013-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,US,2013-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,US,2013-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,US,2013-11-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,US,2013-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,US,2013-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,US,2013-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,US,2013-12-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,US,2013-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,US,2013-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,US,2013-05-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,US,2013-09-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,US,2013-10-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,US,2014-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,US,2014-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,US,2014-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,US,2014-02-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,US,2014-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,US,2014-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,US,2014-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,US,2014-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,US,2014-03-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,US,2014-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,US,2014-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,US,2014-04-01,feminism definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
